x,y
-2860.81324431311,1936.3592947010216
-2907.4624032397073,1864.005087742018
-2887.611377795953,1899.4505312716858
-2896.128635909238,1899.6310087731097
-2908.4561712776417,1895.2674866932955
-2924.2781511699063,1883.4093853531442
-1666.1104930952622,1821.7379862511493
-1653.0961080318384,1826.8226805132358
-1682.4668810630053,1830.8325626204664
-1646.4484196230271,1838.5661268519984
-1642.4151107181397,1837.7831571557153
-1670.3350451688364,1842.9862076274292
-1666.4206929754314,1855.7316171981413
-1644.5064411318488,1857.7407987621577
-1634.0118897246293,1869.3710109184312
-1660.3312690208852,1869.1138928436897
-1628.7130036960561,1884.1756080861308
-1628.8926375244084,1892.0008593159946
-1648.6482863269644,1901.5823488430788
-1626.062121892859,1901.656965208095
-1646.8167499236004,1922.215292100592
-1623.004416217473,1919.3968019861272
-1645.4029029384656,1931.5623652519894
-1618.229253394995,1924.5881831660715
-1641.797879650804,1943.3013854017279
-1613.0499857255033,1937.4979301072829
-1608.5470174796833,1965.7553101024598
-1639.5862511298924,1990.120257113052
-1606.8597042267575,1987.8770626781034
-1639.3503768996245,2012.5705405821384
-1596.139368557392,2006.4884254361455
-1633.666213334246,2035.0267719598685
-1590.840810352673,2021.5644994754305
-1594.320704737931,2033.6022693209607
-18.83352624795487,1000.6659596010893
-2.3491142772720597,1042.8326721414805
-28.610011582538696,1022.8671461149017
-13.997694680724981,1058.7364689509848
-35.178587705941446,1041.3612731032772
-22.03687799006441,1082.1622795708852
-43.38037357866263,1063.227890859908
-23.361633508752245,1098.5418300891786
-46.20771793387236,1080.4086753824427
-35.45193955932047,1121.1798099506884
-53.456122477469386,1097.6441837649618
-32.7115326499357,1144.2021344499985
-59.234573928341646,1112.2777095724903
-49.33656188573522,1158.8602598346267
-82.30409137391,1125.4463061234126
-81.1904892739745,1157.0420074278202
-498.77720959943315,2472.091209217203
-486.22841595394874,2465.502978765185
-463.25376188367716,2497.3850431235956
-456.6293541697372,2466.991628612094
-446.6802201219842,2512.4663014230428
-441.15690869819525,2488.4647782539023
-445.46373568214926,2462.0875492706177
-421.82837585516637,2506.016516912724
-416.7931464779728,2440.802779784453
-393.94196066496494,2497.423260923328
-382.8619528260318,2490.69626541519
-394.17134940936376,2453.884855009512
-364.43180454896736,2481.7677513266253
-375.57577072894094,2451.332598643732
-343.58338678663097,2491.454237779598
-340.85234694869564,2455.82462448313
-330.303290954163,2478.872944737318
-1793.3601498599837,1889.888166511148
-1822.9658014864813,1898.8537393877716
-1782.3236726375048,1897.6814138193065
-1808.6879577393659,1912.0412444110568
-1778.5293476558647,1911.8766385081078
-1797.1131252206776,1920.5999382731693
-1764.2098289694095,1916.7344418131522
-1784.1008743453222,1928.8502155504534
-1732.9990814890582,1950.4139323456275
-1753.742624406825,1956.2687790896362
-1720.3297594083356,1965.1624677056338
-1744.2813456878357,1977.3022279057002
-1713.0515301597036,1979.2917848645145
-1734.6633861396485,1992.6687983389816
-1693.5538281351019,2001.8917866187178
-1711.528046309834,2022.1388920509928
-1679.7867127739246,2028.2028625916316
-1708.8346193083305,2035.7051369169278
-1671.611403297701,2031.710170295828
-1695.7722020004323,2051.826656870417
-1666.4068213511011,2052.2622993423056
-1687.045785609906,2069.318882647335
